-1.00 -1.00

-1.00 -1.00

0.29 0.29

0.00 0.00

-1.00 -1.00

-1.00 -1.00

0.00 0.00

0.29 0.29

   ma    mb  gmab
    0   611   729
    1   181   181
    2  1058  1058
    3   892   677
    4  1076  1076
    5   739   582
    6   804   804
    7   193   193
    8   559  1072
    9    98   679
   10   996   996
   11   669  1029
   12   111   111
   13    79   214
   14   895   823
   15   319   319
   16   627   627
   17   379   655
   18   363   471
   19   530  1060
   20   180   661
   21   462   462
   22   604   604
   23    17    43
   24   889   690
   25   403   391
   26   225   737
   27   102   791
   28   262   216
   29   432   782
   30   788   781
   31  1048  1010
   32   692   272
   33    30    10
   34   953  1000
   35   315   315
   36    67   710
   37   840   822
   38   708   653
   39   185   100
   40   885   230
   41   715  1046
   42   651   435
   43   288   288
   44   428   453
   45   454   109
   46  1027  1027
   47   401   348
   48   679   208
   49   740   740
   50   468   468
   51   114   187
   52   214   151
   53   451   572
   54   526   621
   55   964   257
   56   482    29
   57   136    44
   58   696   610
   59  1078  1078
   60  1064  1064
   61   240   503
   62   560   560
   63   375   467
   64   195   195
   65   838   968
   66  1018  1057
   67   758   757
   68   498   871
   69   741   369
   70  1040  1067
   71   305   417
   72     2     2
   73   635   635
   74   723    26
   75  1067  1061
   76   601   980
   77   681   529
   78   757   758
   79   202   201
   80   419   106
   81   716   518
   82   671   342
   83   469    11
   84   695   155
   85   119   428
   86   309   934
   87  1021   536
   88   408   583
   89   688   984
   90   937   170
   91   834   225
   92   254   499
   93  1002   309
   94   636   636
   95   296   895
   96   871   730
   97   814   291
   98    86   396
   99  1008  1049
  100   775   530
  101   284   595
  102   617   617
  103   269   188
  104   457   457
  105   212   212
  106   626  1053
  107   904   374
  108   367   590
  109    80   380
  110   246   776
  111   819   547
  112   171   171
  113   487   684
  114   551   551
  115   541   541
  116   241   241
  117   665   439
  118   639   639
  119   524   932
  120  1088  1088
  121  1075  1075
  122   646   189
  123   660   660
  124   756   756
  125   199   199
  126   684  1011
  127   538    25
  128   493   799
  129   988  1096
  130   753   987
  131   823   907
  132   821   953
  133    87   512
  134   455   259
  135  1029   689
  136   281   584
  137   338   338
  138   507   507
  139   226   226
  140   844   844
  141   720   514
  142    84   723
  143    46   128
  144   406   406
  145   930   930
  146   354   354
  147   556   556
  148   353   353
  149    20    20
  150   513   682
  151   328   330
  152   489   929
  153   733   733
  154   584    50
  155   376   415
  156   638   513
  157    48    48
  158   572   211
  159   452   519
  160   891   647
  161   308   559
  162   478   818
  163   792  1042
  164   356   356
  165   523   533
  166   439   964
  167   564   944
  168   546   588
  169   143   794
  170    63   469
  171   205   205
  172   251   858
  173   405   489
  174    97   801
  175   320   466
  176   714   692
  177  1086  1086
  178   809   850
  179   535   535
  180   730   498
  181   257    98
  182  1103  1103
  183   502   385
  184   648   648
  185   435   441
  186  1111   978
  187   590   400
  188   179   813
  189   984   931
  190   917  1128
  191   974   460
  192   264   264
  193   940   940
  194   594    86
  195   908   908
  196   830   830
  197  1073   716
  198  1129  1120
  199   231   726
  200   109   129
  201   227   335
  202   939   939
  203    53    53
  204   158   158
  205   731   731
  206   625   998
  207   977   977
  208   423   487
  209  1115  1115
  210  1013   625
  211   752  1009
  212    25   287
  213   362   227
  214   555  1006
  215    18   242
  216  1112   683
  217    41    15
  218  1007  1007
  219   453   119
  220   128    46
  221   557   289
  222   300   771
  223   569   960
  224   655   890
  225   346   847
  226   150   150
  227   872   872
  228   777   777
  229   874   874
  230    85   886
  231   153   153
  232   643   643
  233   780   644
  234   218   218
  235   126   502
  236   776    52
  237   595   991
  238    39    39
  239   357   465
  240   738   973
  241   397   118
  242   791   219
  243   165    28
  244   683  1048
  245   242   388
  246  1044   717
  247   822   834
  248   868   911
  249   145   302
  250     9   355
  251  1100  1100
  252   687   422
  253    83   196
  254   169   169
  255  1014  1014
  256   481   481
  257   571   416
  258   235  1129
  259    34    36
  260   127   127
  261   321   553
  262   587    56
  263    81    69
  264   290   290
  265   999   999
  266   396   642
  267    50   328
  268   929   420
  269  1066   394
  270  1132  1132
  271   525   969
  272    16   509
  273   157   768
  274   658   310
  275   820   695
  276   870  1040
  277  1054   549
  278    49    49
  279   552   995
  280   334     8
  281   915   851
  282   628   957
  283   887   411
  284   920   795
  285  1023  1023
  286   829   317
  287   198   361
  288   164   255
  289  1051  1051
  290   374   358
  291   427   920
  292    70   561
  293   728   337
  294   713   713
  295  1097   906
  296   216   156
  297   991   497
  298   903   903
  299   621   347
  300    59   231
  301  1090  1090
  302   161   336
  303  1026  1024
  304    26   531
  305   207   694
  306   910   910
  307   689   938
  308   494   494
  309  1042   613
  310  1128   917
  311   160   454
  312  1045  1030
  313   465   313
  314  1049  1033
  315   737   318
  316   333   333
  317   783   744
  318   952   808
  319    56   366
  320  1036  1036
  321  1125  1125
  322   514   461
  323   208   434
  324   676    77
  325  1030   838
  326    11   593
  327   592   919
  328   768   474
  329  1037   688
  330   786   786
  331   926   638
  332   856   857
  333   607   545
  334   248   630
  335  1052  1052
  336   743   455
  337   612   612
  338   295   720
  339   995   637
  340  1065  1065
  341  1077  1104
  342   527   527
  343  1113   501
  344   430    27
  345   499   511
  346   909   909
  347    74   444
  348   861   861
  349    64    64
  350   449   449
  351   712   108
  352    24   320
  353   108   812
  354  1085  1085
  355   245   363
  356   147   190
  357  1004   120
  358   192   192
  359   360   360
  360   520   520
  361   691   632
  362   579   819
  363   519    82
  364   857   856
  365   946   946
  366   243   470
  367   858   251
  368   811   550
  369   797   797
  370    55    55
  371    54   206
  372   656   628
  373   271   122
  374   846   633
  375    37    93
  376   517   517
  377   223   769
  378   261   645
  379   336   161
  380   194    16
  381   573   945
  382  1127  1127
  383   386   779
  384   562  1111
  385   827   827
  386  1050  1050
  387     5     5
  388   862   862
  389   152   121
  390   935   113
  391   845   696
  392   317  1039
  393    14   697
  394   144   144
  395   921   365
  396   459   459
  397   134   134
  398   268   268
  399    33    24
  400   518   802
  401   836   870
  402   993   841
  403  1069  1019
  404    31   447
  405   745   117
  406   471   399
  407   274   443
  408   847   994
  409   492   110
  410   219   986
  411   762   829
  412  1015   715
  413   802  1073
  414   981   927
  415   289   747
  416   233   949
  417  1001   477
  418   990   990
  419    35    35
  420  1091  1107
  421  1003  1022
  422  1061   899
  423   443   609
  424   561    91
  425   934  1002
  426   391   339
  427   717   616
  428   191    87
  429   597   597
  430   619   619
  431   213   213
  432   392   392
  433   799  1032
  434   407   656
  435   631   868
  436  1093  1093
  437  1019   532
  438  1020   525
  439   444   557
  440   311   450
  441     6     6
  442   342   811
  443  1123  1113
  444   378    94
  445   661   368
  446   533   712
  447   893   893
  448   686    89
  449   537   475
  450   634   634
  451   399   245
  452   815    88
  453  1102  1102
  454   377   377
  455   632   413
  456   750   750
  457   349  1008
  458    75    75
  459   372   649
  460   324   316
  461   898   864
  462   461   580
  463   110   492
  464  1099   775
  465   340   340
  466   808  1066
  467   986   979
  468   968   924
  469  1009   928
  470   327    76
  471   509   421
  472  1094  1094
  473   772   772
  474   647   425
  475   668   607
  476   841   993
  477   272   404
  478   263   603
  479   544   544
  480  1024   738
  481   960   569
  482   955   955
  483  1106  1106
  484  1120  1112
  485  1057   988
  486   370   132
  487   107   107
  488   778   778
  489   473   921
  490   765   546
  491   922    97
  492   217    30
  493   131    74
  494  1082  1082
  495   366    18
  496  1068   846
  497   155   102
  498   867   839
  499   566   860
  500   474   606
  501  1096   770
  502   699    95
  503   341  1062
  504   137   665
  505   129   220
  506   239   408
  507   529   681
  508  1055  1055
  509   710   185
  510   279   279
  511   967  1037
  512   124   274
  513    51    51
  514   605   892
  515   894   424
  516   950   172
  517    27    78
  518   466   755
  519   220   256
  520  1017  1017
  521   548   548
  522    38    38
  523   206   103
  524   120   131
  525   906   901
  526   500   357
  527   896   896
  528   593   154
  529   677   650
  530   512   885
  531   899   824
  532   973   734
  533   854   526
  534   599   599
  535  1011   493
  536   570   570
  537   528   528
  538   912   912
  539   209   209
  540   121   167
  541   310   952
  542   467    57
  543   322   322
  544   678   790
  545   458   431
  546     1     1
  547   515   515
  548   483   708
  549   837   624
  550  1118  1118
  551   842   842
  552   578   748
  553   914   914
  554  1062   673
  555   148   148
  556   987  1018
  557  1124  1124
  558   565   573
  559   196    83
  560   116   237
  561   576   543
  562   113   496
  563   293   293
  564   944   564
  565   936   878
  566   963   965
  567   954   954
  568   383   321
  569   927   702
  570   339   239
  571   270     3
  572   177   177
  573   760   222
  574   304   234
  575   794   821
  576     3   238
  577   698   522
  578   580   540
  579  1101  1101
  580   866   866
  581   949   923
  582   325   845
  583  1070   721
  584    22    22
  585   725   725
  586   673   798
  587   249   249
  588  1038  1038
  589   221    21
  590  1131  1131
  591   472   472
  592   503   240
  593   475   743
  594   672   524
  595   234   382
  596   534   943
  597    12    12
  598    13    13
  599   306   323
  600   659   659
  601  1053   898
  602   416   194
  603   637   631
  604   907   296
  605   942   936
  606   826   473
  607    91   693
  608   174   174
  609   755   266
  610    82   452
  611   736   736
  612  1022   668
  613   798   341
  614   501  1091
  615   945   359
  616   425   186
  617   215   217
  618   670   657
  619   292   262
  620   881   817
  621  1035   626
  622   344   664
  623     0     0
  624  1041  1041
  625   957   670
  626   997   997
  627   828   491
  628   448   448
  629   970  1020
  630   117   745
  631   850   809
  632   732   732
  633  1080  1080
  634   724   567
  635   476   479
  636   779   787
  637   266    14
  638   440   329
  639    61    61
  640   100   152
  641   653    67
  642   918   918
  643   456   456
  644    44   184
  645   913   228
  646  1098  1098
  647   505   552
  648   749   749
  649   884   884
  650   801   752
  651  1081  1081
  652   553    81
  653    10   149
  654   629   766
  655   516   516
  656   919   233
  657   959   959
  658    60   867
  659   812   761
  660   911   698
  661   897  1026
  662   450   157
  663  1072   101
  664   618   615
  665   943    59
  666   410   592
  667   413   640
  668   318  1015
  669   591   591
  670    88   571
  671   282   523
  672   159   836
  673   421   418
  674   104   104
  675   437   207
  676   839   869
  677   446   446
  678   511   506
  679    92   426
  680    69   367
  681   394   407
  682   640   160
  683   149    33
  684   364   364
  685   583   198
  686   722   378
  687   123   123
  688   962  1083
