0.542 0.542
0.000 0.002
0.002 0.002
0.423 0.542
0.984 0.478 0.324 0.322
   ma    mb  gmab
    0   230   230
    1   202   202
    2    51   907
    3   553   553
    4   350   187
    5   308   308
    6    68    68
    7   467   467
    8   983   983
    9  1034   217
   10    45    45
   11   182   364
   12   418   418
   13   511   511
   14   852   852
   15   552   552
   16  1047  1062
   17   399   399
   18   230   630
   19   893   119
   20   673   111
   21   903   903
   22   552   886
   23   449   482
   24    37    37
   25   739   739
   26  1046  1046
   27   671   160
   28   657   657
   29   418   823
   30   314   314
   31   854   921
   32  1100   459
   33    98    98
   34   388   388
   35   388  1050
   36   388   565
   37    47    47
   38   368   368
   39   377   377
   40   666   666
   41  1127   232
   42   496   879
   43   392  1114
   44   295   295
   45   457   457
   46    35   697
   47   934   934
   48   563   563
   49   499   499
   50   805   805
   51    51    51
   52   968   968
   53   557   557
   54   495   447
   55   871   693
   56   808   607
   57   878   878
   58   517   517
   59   238   238
   60   277   130
   61   454  1059
   62   657   974
   63   997   670
   64   213   213
   65   734   734
   66   750   750
   67    30   899
   68   882   617
   69   328   706
   70   128   489
   71   647   349
   72   911   321
   73   108   108
   74   107   107
   75   232   173
   76   674   562
   77   258   760
   78    28    28
   79   579   579
   80   411   411
   81   338   338
   82   730   926
   83   302   302
   84   106   106
   85    18    18
   86   906   906
   87   919   919
   88   130   283
   89    34  1069
   90   291   861
   91  1084  1084
   92   809   809
   93   877   877
   94   880   880
   95    39    39
   96  1004  1004
   97   804   804
   98   363   205
   99   461   461
  100   193   594
  101   972   972
  102   528   528
  103   983   128
  104   188   188
  105   822   822
  106   510   510
  107   934  1081
  108   788   298
  109  1100  1007
  110   661   736
  111   371   523
  112    12   122
  113   189    31
  114  1060   206
  115   907   731
  116   771  1041
  117  1077  1077
  118   674   681
  119   208   753
  120   135   406
  121   669   154
  122   501   591
  123   392   392
  124   118   586
  125   549   223
  126   476   259
  127   563   673
  128   562   426
  129   586   628
  130   830   830
  131  1049   133
  132   243   476
  133     9     9
  134   482   976
  135  1060  1060
  136   819   261
  137   787   494
  138   462   462
  139   870   870
  140   938   938
  141    45   800
  142   168   980
  143   910   910
  144   399   820
  145   254   254
  146   395   395
  147    10    10
  148  1079   381
  149   355   794
  150   931   931
  151   863   863
  152   460   460
  153  1111   836
  154   120   574
  155   744   744
  156   495   495
  157   121   121
  158  1010   996
  159  1037  1037
  160   496   446
  161   193   193
  162   209   587
  163   180  1047
  164   695  1086
  165   203   514
  166  1009   195
  167  1041   222
  168   408   904
  169   868  1020
  170   138  1017
  171   408  1085
  172   250   250
  173   697   513
  174  1038  1038
  175   475   475
  176   445   445
  177   408   672
  178   688   189
  179  1053  1053
  180   829   277
  181   328   328
  182   807   807
  183   940   175
  184   680   783
  185   334   334
  186   204   204
  187   898   593
  188   478   708
  189  1013  1013
  190    10   865
  191   832   832
  192   108   994
  193   937   162
  194   180   180
  195   886  1125
  196    94    60
  197    58    58
  198   625   366
  199    44   506
  200  1059   923
  201   825   789
  202   604   604
  203   563   871
  204   263   263
  205   499   479
  206   983   144
  207   175   884
  208  1081   712
  209   132   330
  210   741   741
  211   813   813
  212   805   999
  213   937   937
  214   263   840
  215   308   120
  216   642    80
  217   579   272
  218   396   396
  219   621   621
  220   421    96
  221   950   950
  222   804   811
  223   326   569
  224   776   776
  225   372   372
  226   983   535
  227   306   306
  228  1111   668
  229   489   669
  230   456   456
  231   784   784
  232    51   819
  233   744   158
  234   222  1014
  235   341   341
  236   169   882
  237  1052   573
  238    44    32
  239   624   624
  240   806   806
  241  1028  1028
  242   603   603
  243   340   954
